Ticket_ID,Category,Resolution_Time_Hours
TKT-0879,Product Issue,24.47
TKT-0880,Product Issue,37.63
TKT-0881,Product Issue,18.09
TKT-0882,Account Access,7.38
TKT-0883,Billing,20.67
TKT-0884,Product Issue,28.0
TKT-0885,Billing,4.74
TKT-0886,General Inquiry,4.545
TKT-0887,Product Issue,24.41
TKT-0888,Billing,10.69
TKT-0889,Account Access,3.81
TKT-0890,Billing,4.41
TKT-0891,Technical,39.63
TKT-0892,Billing,9.5
TKT-0893,Technical,16.5
TKT-0894,General Inquiry,8.43
TKT-0895,General Inquiry,12.25
TKT-0896,Technical,19.21
TKT-0897,General Inquiry,9.47
TKT-0898,Technical,26.07
TKT-0899,Product Issue,15.28
TKT-0900,General Inquiry,4.76
TKT-0901,Product Issue,24.91
TKT-0902,Technical,32.05
TKT-0903,Technical,55.76
TKT-0904,Technical,30.76
TKT-0905,Account Access,11.73
TKT-0906,General Inquiry,5.9
TKT-0907,Billing,21.73
TKT-0908,Technical,17.69
TKT-0909,Technical,19.7
TKT-0910,Product Issue,14.84
TKT-0911,Technical,43.34
TKT-0912,Billing,26.21
TKT-0913,Product Issue,26.54
TKT-0914,Billing,11.35
TKT-0915,Technical,39.96
TKT-0916,Billing,5.99
TKT-0917,General Inquiry,4.48
TKT-0918,General Inquiry,4.92
TKT-0919,Billing,8.28
TKT-0920,Billing,13.18
TKT-0921,General Inquiry,0.79
TKT-0922,Billing,10.13
TKT-0923,Technical,12.88
TKT-0924,Technical,37.55
TKT-0925,Billing,11.82
TKT-0926,Technical,24.22
TKT-0927,General Inquiry,4.26
TKT-0928,Technical,45.12
TKT-0929,Technical,24.12
TKT-0930,Technical,27.83
TKT-0931,Billing,8.72
TKT-0932,Account Access,4.07
TKT-0933,Billing,12.59
TKT-0934,Technical,32.97
TKT-0935,Technical,4.57
TKT-0936,Technical,19.8
TKT-0937,Account Access,3.27
TKT-0938,General Inquiry,3.42
TKT-0939,Product Issue,7.35
TKT-0940,Product Issue,13.02
TKT-0941,Technical,31.82
TKT-0942,Product Issue,14.6
TKT-0943,Account Access,5.08
TKT-0944,Billing,12.585
TKT-0945,Product Issue,12.56
TKT-0946,General Inquiry,4.72
TKT-0947,Technical,45.89
TKT-0948,Product Issue,12.91
TKT-0949,Billing,21.75
TKT-0950,General Inquiry,2.64
TKT-0951,Account Access,6.08
TKT-0952,Technical,26.45
TKT-0953,Technical,23.6
TKT-0955,General Inquiry,4.62
TKT-0956,Billing,23.33
TKT-0957,Billing,11.18
TKT-0958,Billing,7.44
TKT-0959,General Inquiry,6.92
TKT-0960,Billing,17.33
TKT-0961,General Inquiry,5.55
TKT-0962,Technical,19.3
TKT-0963,Technical,29.83
TKT-0964,Billing,16.91
TKT-0965,Billing,13.9
TKT-0966,General Inquiry,5.75
TKT-0967,Technical,14.16
TKT-0968,Technical,24.65
TKT-0969,Product Issue,18.71
TKT-0970,General Inquiry,3.52
TKT-0971,Billing,12.13
TKT-0972,General Inquiry,5.59
TKT-0973,Account Access,12.64
TKT-0974,Account Access,15.1
TKT-0975,General Inquiry,4.86
TKT-0976,Account Access,5.19
TKT-0977,Account Access,9.68
TKT-0978,Technical,22.25
TKT-0979,Account Access,11.03
TKT-0980,Product Issue,7.85
TKT-0981,Product Issue,17.65
TKT-0982,Billing,7.08
TKT-0983,Product Issue,20.51
TKT-0984,General Inquiry,6.19
TKT-0985,General Inquiry,15.55
TKT-0986,Technical,11.82
TKT-0987,Account Access,3.84
TKT-0988,Technical,35.92
TKT-0989,General Inquiry,10.14
TKT-0990,General Inquiry,2.99
TKT-0991,Account Access,4.01
TKT-0992,General Inquiry,5.73
TKT-0993,Billing,11.21
TKT-0994,Product Issue,19.03
TKT-0995,Billing,11.71
TKT-0996,Product Issue,11.64
TKT-0997,Technical,17.19
TKT-0998,Account Access,4.98
TKT-0999,Technical,36.86
TKT-1000,Billing,18.47
